,original,paraphrase,output,output_reference
908,"As thus: he thoghte wel that every man
","he's a man, he's a man, he's a man, he's a man, he's a man, he's a man, he's"," He is a man, he is a man, he is a man, he is a man, he is a man, he is a man, he is a man, he is a man, he is a man, he is a man, he is a man","As thus: he thought well that every man
"
909,"Wol helpe hymself in love, if that he kan,
","if he can, he will love himself, if he can."," If he can, he will love himself, if he can.","Will help himself in love, if he can,
"
910,"And eek delivere hymself out of prisoun.
","eek, he's out of the prisoun."," eek, he's out of the prisoun.","And also deliver himself out of prison.
"
911,"And eek his herte hadde compassioun
","he was a compass of the compass, and he was a compass of the compass."," He was a compass of compass, and compass was a compass of the compass.","And also his heart had compassion
"
912,"Of wommen, for they wepen evere in oon,
","we're in the oon, we're in the oon, we're in the oon."," We are in the oon, we are in the oon, we are in the oon.","Of women, for they weep continually,
"
913,"And in his gentil herte he thoughte anon,
","he was a gentil herte, a gentil herte, a gentil herte."," He was a gentil herte, a gentil herte, a gentil herte.","And in his gentle heart he thought straightway,
"
914,"And softe unto hymself he seyde, ""Fy
","""Fy"" he said, ""Fy"" he said, ""Fy"" he said, ""Fy"" he said, ""Fy"""," "" Fy he said, "" Fy "" he said, "" Fy "" he said, "" Fy"" he said, "" Fy "" he said, "" Fy "" he said, "" Fy"" he said, "" Fy"" he said","And softly to himself he said, ""Fie
"
915,"Upon a lord that wol have no mercy,
","for the lord of the lord, he doesn't care about mercy."," For the lord of the lord, he does not care for mercy.","Upon a lord that will have no mercy,
"
916,"But been a leon, bothe in word and dede,
","he was a leon, a bothe in speech and deed,
he was a leon, a bothe in speech and deed."," He was a leon, a bothe in speech and deed,","But be a lion, both in word and deed,
"
917,"To hem that been in repentaunce and drede,
",he was in the repentant and the dung of the earth., He was in the repentant and dung of the earth.,"To those who are in repentance and fear,
"
918,"As wel as to a proud despitous man
","as a proud, proud, proud man."," As a proud, proud, proud man.","As well as to a proud, spiteful man
"
919,"That wol mayntene that he first bigan.
","he may not be able to do it first, but he can."," He may not be able to do it first, but he can.","Who will persist in what he first began.
"
920,"That lord hath litel of discrecioun,
","the Lord's discoverer, the discoverer of the discoverer, the discoverer of the discoverer, the..."," The discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the discoverer, the disc","That lord has little sound judgment,
"
921,"That in swich cas kan no divisioun
","in the case of a woman, it's a woman's case, not a man's case."," In the case of a woman, it is a woman's case, not a man's case.","That in such cases knows no distinctions
"
922,"But weyeth pride and humblesse after oon.""
","weyeth pride and humility, after the oon. """, Weyeth pride and humility after the oon.,"But considers pride and humility equal.""
"
923,"And shortly, whan his ire is thus agoon,
","when his anger is so agitated, he will soon be agitated."," He will soon be agitated, when his anger is so agitated, he will soon be agitated.","And shortly, when his anger is thus gone,
"
924,"He gan to looken up with eyen lighte
",gan to look up with a flashlight beam., gan to look up with a beam of light,"He began to look up with bright eyes
"
925,"And spak thise same wordes al on highte:
",he said the same word as he had said:, And he said the same word as he had said:,"And spoke these same words all aloud:
"
926,"""The god of love, a benedicite!
","the love of the gods, a benedicite!"," The love of the gods, a benedicite!","""The god of love, ah, bless my soul!
"
927,"How myghty and how greet a lord is he!
","how nice it is to meet you, myghty! How kind of you to meet me!"," How nice it is to meet you, myghty! How kind of you to meet me!","How mighty and how great a lord is he!
"
928,"Ayeyns his myght ther gayneth none obstacles.
","yes, myght he's not gonna be any obstacles."," Yes, myght he is not no obstacles.","Against his power there avail no obstacles.
"
929,"He may be cleped a god for his myracles,
",maybe he'll be a god for myracles., Maybe he'll be a god for myracles.,"He may be called a god for his miracles,
"
930,"For he kan maken, at his owene gyse,
","he's got a lot of work to do, so he's got to work hard."," He's got a lot of work to do, so he's got to work hard.","For he can make, as he pleases,
"
931,"Of everich herte as that hym list divyse.
",as the hym list of the hym list of the hym list., As the hym list of the hym list of the hym list of the hym,"Of every heart whatever he wants to devise.
"
932,"Lo heere this Arcite and this Palamoun,
","he's got a Palamoun and a Palamoun, and he's got a Palamoun."," And he hath a Palamoun and a Palamoun, and a Palamoun, and a Palamoun, and a Palamoun, and a Palamoun, and a Palamoun, and a PalamâĢĻs, and a Palamoun, and a Pal","Lo here this Arcite and this Palamon,
"
933,"That quitly weren out of my prisoun,
",I'm sure I'm not going to be able to go to the Prisoun., I am sure I cannot go to the Prisoun.,"Who freely were out of my prison,
"
934,"And myghte han lyved in Thebes roially,
",the gynnish gynnish gynnish gynnish gynnish gynnish gynnish gynn, The gynnish gynnish gynnish gynnish gynnish gynnish gynnish,"And could have lived royally in Thebes,
"
935,"And witen I am hir mortal enemy,
","I'm a mortal enemy to you, I'm a mortal enemy to you."," I am a mortal enemy to you, I am a mortal enemy to you.","And know I am their mortal enemy,
"
936,"And that hir deth lith in my myght also,
",and I'm also a hir deth lith in myght., And I also hir deth lith in myght,"And that their death lies in my power also,
"
937,"And yet hath love, maugree hir eyen two,
","but love, maugree hir, two, but not the same."," But love, maugree hir, two, but not the same.","And yet has Love, despite anything they could do,
"
938,"Broght hem hyder bothe for to dye.
","he's got a lot of work to do, so he's got a lot of work to do."," He has a lot of work to do, so he has a lot of work to do.","Brought them both hither to die.
"
939,"Now looketh, is nat that an heigh folye?
",looks like a heigh-folye?, Look like heigh-folye?,"Now look, is that not a great folly?
"
940,"Who may been a fool but if he love?
","if he likes it, he's a fool, but if he likes it, he's a fool."," If he likes it, he is a fool, but if he likes it, he is a fool.","Who can be a fool unless he is in love?
"
941,"Bihoold, for Goddes sake that sit above,
","for God's sake, the seat is over there, for God's sake."," For God's sake, the seat over there, for God's sake.","Behold, for the sake of God who sits above,
"
942,"Se how they blede! Be they noght wel arrayed?
",how they're going to be? How do they look? How do they look? How do they look? How do they look?..., How they are to come?,"See how they bleed! Are they not in fine condition?
"
943,"Thus hath hir lord, the god of love, ypayed
","the Lord of Love, the love of the gods, the love of the gods, the love of the gods, the love of the..."," The LORD of Love, the LORD of the gods, the LORD of the gods, the LORD of the gods, the love of the gods, the love of the...","Thus has their lord, the god of love, paid
"
944,"Hir wages and hir fees for hir servyse!
",the wages and fees of the servants and the wages of the servants!, The wages and fees of the servants and the wages of the servants!,"Their wages and their fees for their service!
"
945,"And yet they wenen for to been ful wyse
","they wanted to be wisest of all, but they were wisest of all."," They wanted to be wisest of all, but they were wisest of all.","And yet they consider themselves very wise,
"
946,"That serven love, for aught that may bifalle.
","love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love,"," Love, love, love, love, love, love, love, love, love, love, love, love, ","Those who serve love, whatever may happen.
"
947,"But this is yet the beste game of alle,
","it's the best game of all, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle,"," It is the best game of all, alle, alle, alle, alle, alle, ","But this is yet the best joke of all,
"
948,"That she for whom they han this jolitee
",the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one..., The one who shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that shall be the one that,"That she for whom they have this sport
"
949,"Kan hem therfore as muche thank as me.
","as I'm sorry to say, I'm sorry to say, but I'm sorry to say."," As I am sorry to say, But as I am sorry to say, But I am sorry to say","Owes them as much gratitude for this as she owes me.
"
950,"She woot namoore of al this hoote fare,
","wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow,"," Wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, ","She knows no more of all this passionate business,
"
