,original,paraphrase,output,output_reference
933,"Who freely were out of my prison,
","I was free from prison, and I'm free to go."," I was free from prison, and I am free to go.","That quitly weren out of my prisoun,
"
934,"And could have lived royally in Thebes,
","he could have lived in Thebes, but he would have died."," He could have lived in Thebes, but would have died.","And myghte han lyved in Thebes roially,
"
935,"And know I am their mortal enemy,
","I'm their mortal enemy, I'm their mortal enemy."," I am their mortal foe, I am their mortal foe.","And witen I am hir mortal enemy,
"
936,"And that their death lies in my power also,
",and I have the power to kill them., And I have power to kill them.,"And that hir deth lith in my myght also,
"
937,"And yet has Love, despite anything they could do,
","but Love, even if they can't, is still love."," But Love, even if they cannot, is still love.","And yet hath love, maugree hir eyen two,
"
938,"Brought them both hither to die.
",they both came to death., And they both came to death.,"Broght hem hyder bothe for to dye.
"
939,"Now look, is that not a great folly?
",isn't that a little silly?, Is not that a little silly?,"Now looketh, is nat that an heigh folye?
"
940,"Who can be a fool unless he is in love?
","if he doesn't love you, he's a fool."," If he doesn't love you, he is a fool.","Who may been a fool but if he love?
"
941,"Behold, for the sake of God who sits above,
","for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's"," For God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's ","Bihoold, for Goddes sake that sit above,
"
942,"See how they bleed! Are they not in fine condition?
",how do they bleed? Is it okay? Is it okay if they're not in good condition?, How do they bleed? Is it okay?,"Se how they blede! Be they noght wel arrayed?
"
943,"Thus has their lord, the god of love, paid
","the gods of love pay their lord, the god of love."," The gods of love pay their lord, the god of love.","Thus hath hir lord, the god of love, ypayed
"
944,"Their wages and their fees for their service!
",the wages and the fees of the service!, The wages and the fees of the service!,"Hir wages and hir fees for hir servyse!
"
945,"And yet they consider themselves very wise,
","yet they're very wise, but they don't think so."," Yet they are wise, yet they do not think so.","And yet they wenen for to been ful wyse
"
946,"Those who serve love, whatever may happen.
","anyone who serves love, whatever happens to be."," Anyone who serves love, whatever happens to be.","That serven love, for aught that may bifalle.
"
947,"But this is yet the best joke of all,
","it's the best joke in the world, and it's the best joke in the world."," It's the best joke in the world, and it's the best of all.","But this is yet the beste game of alle,
"
948,"That she for whom they have this sport
",who's the one who's going to be the one who's going to be the one who wins the game., Who is the one who is the one who wins the game.,"That she for whom they han this jolitee
"
949,"Owes them as much gratitude for this as she owes me.
",she owes me a lot of gratitude for this., This is a lot of gratitude for this.,"Kan hem therfore as muche thank as me.
"
950,"She knows no more of all this passionate business,
","he doesn't know anything about this passionate business, but he's still interested in it."," He knows nothing about this passionate business, but he still wants to be involved in it.","She woot namoore of al this hoote fare,
"
951,"By God, than knows a cuckoo or a hare!
","God, I don't know if it's a rabbit or a hare!"," God, I don't know if it is a rabbit or a hare!","By God, than woot a cokkow or an hare!
"
952,"But all must be tried, hot or cold;
","it's all about trying, hot or cold;"," It is all about trying, hot or cold;","But all moot ben assayed, hoot and coold;
"
953,"A man must be a fool, either young or old --
","a fool must be a fool, young or old."," A fool must be a fool, young or old.","A man moot ben a fool, or yong or oold --
"
954,"I know it by my own experience very long ago,
","I've known it for a long time, and I've known it's true."," I knew it for a long time, and I knew it was true.","I woot it by myself ful yore agon,
"
955,"For in my time I was a servant (of love).
",I've been a servant of love for a long time., I have been a servant of love for a long time.,"For in my tyme a servant was I oon.
"
956,"And therefore, since I know of love's pain
","since I know the pain of love, I know the pain of love."," Since I know the pain of love, I know the pain of love.","And therfore, syn I knowe of loves peyne
"
957,"And know how sorely it can afflict a man,
","you know how much it's going to hurt a guy, and how much it hurts him."," You know how much it hurts a man, and how much it hurts him","And woot hou soore it kan a man distreyne,
"
958,"As one who has been often caught in its snare,
","one who's often caught in the trap,"," One who often caught in the trap,","As he that hath ben caught ofte in his laas,
"
959,"I wholly forgive you this trespass,
","I'm sorry about the trespass, but I'm sorry about the trespass."," I am sorry, but I am sorry for the trespass.","I yow foryeve al hoolly this trespaas,
"
960,"At the request of the queen, who kneels here,
",the Queen kneels down to the Queen's request., The Queen kneels down to the Queen's request.,"At requeste of the queene, that kneleth heere,
"
961,"And also of Emelye, my dear sister.
",and also my dear sister Emelye., And my dear sister Emelye.,"And eek of Emelye, my suster deere.
"
962,"And you must both immediately swear unto me
",you'll both swear to me immediately., You will both swear to me in the same instant.,"And ye shul bothe anon unto me swere
"
963,"That you shall never more harm my country,
",you'll never hurt my country any more., You'll never hurt my country any more.,"That nevere mo ye shal my contree dere,
"
964,"Nor make war upon me at any time,
","any time you want, you can attack me."," Any time you want, you can attack me","Ne make werre upon me nyght ne day,
"
965,"But be my friends in all that you can.
",be my friends in all the things you can., Be my friends in all the things you can.,"But been my freendes in all that ye may.
"
966,"I forgive you this trespass completely.""
","I'm sorry about the trespass, but I'm sorry about the trespass. """," I am sorry for the trespass, but I am sorry for the trespass.","I yow foryeve this trespas every deel.""
"
967,"And they fairly and well swore to him (to do) his request,
","they promised him (to do) his request, and they promised him (to do) it."," And they said unto him (to do) his request, and they said unto him (to do) it.","And they hym sworen his axyng faire and weel,
"
968,"And prayed him to be their lord and to have mercy ,
",they prayed to be his master and to be kind to him., They prayed to be his master and to be kind to him.,"And hym of lordshipe and of mercy preyde,
"
969,"And he grants them his favor, and thus he said:
","he's giving them his favor, and so he said:"," He giveth them his favor, and so said he:","And he hem graunteth grace, and thus he seyde:
"
970,"""To speak of royal lineage and riches,
","to talk about the royal family and the wealth of the kingdom,"," To talk of the royal family and the wealth of the kingdom,","""To speke of roial lynage and richesse,
"
971,"Though she were a queen or a princess,
",she was a queen or a princess., She was a queen or a princess.,"Though that she were a queene or a princesse,
"
972,"Each of you both is worthy, doubtless,
","you both have the right to be, I'm sure."," And ye both have the right to be, I pray you.","Ech of you bothe is worthy, doutelees,
"
